id,name,type,formart,description
310,Periodo,inteiro,,Número do Periodo.Ex:1
311,TipoPeriodo,textp,"S=Semestral, T= Trimestral",
312,quantidade,integer,Default=5,Quantidade de relatórios a serem retornados
313,identificadorRelatorio,String,AAAAMM,"Ano-mês que identifica o relatório de inflação, no formato AAAAMM"
314,inicioAgenda,String,YYYY-MM-DD,"Data de referência para identificar os relatórios futuros, no formato YYYY-MM-DD."
315,Data_base,texto,yyyy-MM-dd,
316,Data_fim,texto,yyyy-MM-dd,
317,Data,inteiro,AAAAMM,Ano-Mês de referência em formato AAAAMM
318,Ano,inteiro,,Ano de contratação da operação
319,Modalidade,texto,,Código da Modalidade
320,CodigoGrupoConsolidado,texto,,Código do grupo consolidado para o qual as instituições serão listadas.
321,PessoaFisicaOuJuridica,texto,F para pessoa física J para pessoa jurídica,
322,CNPJ,texto,,CNPJ da instituição para a qual as tarifas serão listadas.
323,CodigoServico,texto,,Código do Serviço
324,dataCotacao,texto," MM-DD-AAAA",Data da cotação - informar no padrão MM-DD-AAAA
325,dataInicial,texto," MM-DD-AAAA",Data de início do período de cotação - informar no padrão MM-DD-AAAA
326,dataFinalCotacao,texto," MM-DD-AAAA",Data de fim do período de cotação - informar no padrão MM-DD-AAAA
327,moeda,texto,MMM,Código texto da moeda cujas cotações e paridades serão consultadas. Formato - MMM: Três letras. Exemplo: EUR. As moedas que estão disponíveis podem ser consultadas no recurso Moedas deste mesmo conjunto de dados.
328,codigoMoeda,texto,,
329,dataInicialCotacao,texto,,
330,Data,texto,YYYY-MM-DD,"Data base para obtenção das informações, no formato YYYY-MM-DD"
413,co_modalidade_licitacao,Texto,,Indica qual o tipo de compra sem licitação.
414,co_orgao,Texto,,Órgão responsável pela realização da compra sem licitação.
415,co_orgao_superior,Texto,,Órgão Superior.
416,co_uasg,Texto,,Númeroo da UASG responsável pela compra sem licitação.
417,ds_fundamento_legal,Texto,,Descrição geral do fundamento legal para aquisição do objeto pretendido.
418,ds_justificativa,Texto,,Descrição geral da justificativa para realização da compra sem licitação.
419,ds_lei,Texto,,Lei que determina a aplicação da modalidade escolhida para o objeto pretendido.
420,ds_objeto_licitacao,Texto,,Descrição geral do objeto da compra.
421,dt_ano_aviso_licitacao,Texto,,Ano da compra sem licitação.
422,dt_declaracao_dispensa,Data,,Data referente ao reconhecimento da compra feita se licitação.
423,dt_publicacao,Data,,Data referente à publicação da compra feita sem licitação.
424,dt_ratificacao,Data,,Data referente à ratificação da compra feita sem licitação.
425,no_modalidade_licitacao,Texto,,Indica qual o tipo de compra sem licitação.
426,nu_aviso_licitacao,Texto,,Número da compra correspondente a compra sem licitação.
427,nu_inciso,Texto,,Inciso da lei escolhida anteriormente.
428,nu_processo,Texto,,Número do processo correspondente à forma de compra sem licitação.
429,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
430,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente.
431,order_by,Texto,,Atributo utilizado para ordenação.
432,qt_total_item,Texto,,Quantidade de itens da compra realizada.
433,vr_estimado,Texto,,Valor total da compra realizada.
434,co_conjunto_materiais,Texto,,Código do item - Material.
435,co_servico,Texto,,Código do item - Serviço.
436,ds_detalhada,Texto,,Descrição detalhada do item.
437,in_material_servico,Texto,,Tipo do item.
438,in_tipo_fornecedor_vencedor,Texto,,Tipo de fornecedor.
439,no_conjunto_materiais,Texto,,Descrição do item conforme código selecionado.
440,no_fornecedor_vencedor,Texto,,Nome/Razão Social do fornecedor.
441,no_marca_material,Texto,,Descrição da marca do item.
442,no_servico,Texto,,Descrição do item conforme código selecionado.
443,nu_cpf_cnpj_fornecedor,Texto,,Número do CPF/CNPJ do fornecedor.
444,id,Inteiro,,Id da Compra Sem Licitação
445,item,Texto,,Código do item da compra.
446,cnpj_contratada,Texto,,CNPJ da empresa contratada.
447,cpf_contratada,Texto,,CPF da contratada.
448,data_assinatura,Data,,Data de assinatura do contrato.
449,data_assinatura_max,Data,,Data máxima de assinatura do contrato.
450,data_assinatura_min,Data,,Data mínima de assinatura do contrato.
451,data_inicio_vigencia,Data,,Data de início de vigência dos contratos.
452,data_inicio_vigencia_max,Data,,Data máxima de início de vigência dos contratos.
453,data_inicio_vigencia_min,Data,,Data mínima de início de vigência dos contratos.
454,data_termino_vigencia,Data,,Data de término de vigência dos contratos.
455,data_termino_vigencia_max,Data,,Data máxima de término de vigência dos contratos.
456,data_termino_vigencia_min,Data,,Data mínima de término de vigência dos contratos.
457,fundamento_legal,Texto,,Fundamento legal do processo de contratação.
458,id_contratada,Inteiro,,Identificador único da contratada.
459,modalidade,Inteiro,,Código da modalidade da licitação.
460,nome_contratada,Texto,,Nome da Empresa ou da Pessoa Física contratada.
461,numero,Inteiro,,"Campo seguido pelo número do contrato, seguido do respectivo ano."
462,numero_aditivo,Inteiro,,Quantidade de termos aditivos de um contrato.
463,numero_aviso,Inteiro,,Número do aviso da licitação que originou a contratação.
464,numero_processo,Texto,,Número do processo de contratação.
465,objeto,Texto,,"Descrição do objeto, a partir de uma descrição de item/serviço informada."
466,origem_licitacao,Texto,,Indica a origem da licitação que originou o contrato. Valores aceitos: SISRP ou SISPP
467,tipo_contrato,Inteiro,,Tipo de Contrato.
468,tipo_pessoa,Texto,,Tipo da pessoa contratada: Física (PF) ou Jurídica (PJ)
469,uasg,Inteiro,,Campo de seis dígitos que indica o código da UASG contratante.
470,uasg_contrato,Inteiro,,
471,valor_inicial_max,BigDecimal,,Valor inicial máximo do contrato.
472,valor_inicial_min,BigDecimal,,Valor inicial mínimo do contrato.
473,descricao,Texto,,Descrição do tipo de contrato.
474,aditivo,Texto,,Id do Aditivo de Contrato
475,apostilamento,Texto,,Id do Apostilamento de Contrato
476,evento,BigDecimal,,Número do Evento de Contrato
477,categoria,Texto,,Categoria (Ex.: categoria=compras)
478,codigo_compra,Texto,,Código da compra (Ex.: codigo_compra=11540605003702019)
479,codigo_contrato,Texto,,Código do contrato (Ex.: codigo_contrato=11540650000292019)
480,codigo_modalidade,Texto,,"Código da modalidade (Ex.: codigo_modalidade=05, sempre 2 dígitos)"
481,codigo_tipo,Inteiro,,Tipo do contrato (Ex.: codigo_tipo=50)
482,data_publicacao,Data,,Data de publicação (Ex.: data_publicacao=2021-04-20)
483,data_publicacao_max,Data,,Data máxima de publicação (Ex.: data_publicacao_max=2021-04-20)
484,data_publicacao_min,Data,,Data mínima de publicação (Ex.: data_publicacao_min=2021-04-20)
485,fornecedor_cnpj_cpf_idgener,Texto,,Identificador do fornecedor (Ex.: fornecedor_cnpj_cpf_idgener=04.936.559/0001-89)
486,fornecedor_nome,Texto,,Razão social/Nome do fornecedor (Ex.: fornecedor_nome=empresa brasileira de correios e telegrafos)
487,fornecedor_tipo,Texto,,Tipo de fornecedor (Ex.: fornecedor_tipo=juridica)
488,informacao_complementar,Texto,,Informação complementar (Ex.: informacao_complementar=sei 0448453)
489,licitacao_numero,Texto,,Número da licitação (Ex.: licitacao_numero=00019/2019)
490,num_parcelas,Inteiro,,Número de parcelas (Ex.: num_parcelas=30)
491,orgao_codigo,Inteiro,,Código SIASG do orgão contratante (Ex.: orgao_codigo=2000)
492,orgao_nome,Texto,,Nome do orgão contratante (Ex.: orgao_nome=senado federal)
493,processo,Texto,,Processo (Ex.: processo=50840.000439/2016-94)
494,receita_despesa,Texto,,Tipo de contrato (Ex.: receita_despesa=despesa)
495,tipo,Texto,,Descrição do tipo de Contrato (Ex.: tipo=Contrato)
496,unidade_codigo,Inteiro,,Código da UASG contratante (Ex.: unidade_codigo=20001)
497,unidade_compra,Inteiro,,Unidade compra (Ex.: unidade_compra=200005)
574,item_servico,Texto,,Código do item de serviço do item incluído na IRP.
498,unidade_nome,Texto,,Nome completo da UASG contratante (Ex.: unidade_nome=tribunal de contas da uniao)
499,unidade_nome_resumido,Texto,,Sigla/Nome UASG contratante (Ex.: unidade_nome_resumido=tcu)
500,unidade_origem_codigo,Texto,,Código da unidade de origem
501,unidade_origem_nome,Texto,,Nome da unidade de origem
502,valor_acumulado,BigDecimal,,Valor acumulado (Ex.: valor_acumulado=30000)
503,valor_global,BigDecimal,,Valor global (Ex.: valor_global=3500000)
504,valor_global_max,BigDecimal,,Valor global máximo (Ex.: valor_global_max=500000)
505,valor_global_min,BigDecimal,,Valor global mínimo (Ex.: valor_global_min=20000)
506,valor_inicial,BigDecimal,,Valor inicial (Ex.: valor_inicial=2000)
507,valor_parcela,BigDecimal,,Valor da parcela (Ex.: valor_parcela=15000)
508,vigencia_fim,Data,,Data do fim da vigência (Ex.: vigencia_fim=2021-04-20)
509,vigencia_fim_max,Data,,Data máxima do fim da vigência (Ex.: vigencia_fim_max=2021-04-20)
510,vigencia_fim_min,Data,,Data mínima do fim da vigência (Ex.: vigencia_fim_min=2021-04-20)
511,vigencia_inicio,Data,,Data do início da vigência (Ex.: vigencia_inicio=2021-04-20)
512,vigencia_inicio_max,Data,,Data máxima do início da vigência (Ex.: vigencia_inicio_max=2021-04-20)
513,vigencia_inicio_min,Data,,Data mínima do início da vigência (Ex.: vigencia_inicio_min=2021-04-20)
514,cronograma,Inteiro,,Id do cronograma.
515,despesa_acessoria,Inteiro,,Id da despesa acessória.
516,empenho,Inteiro,,Id do empenho.
517,fatura,Inteiro,,Id da fatura.
518,garantia,Inteiro,,Id da garantia.
519,historico,Inteiro,,Id do histórico.
520,item_compras_contratos,Inteiro,,Id do item.
521,preposto,Inteiro,,Id do preposto.
522,responsavel,Inteiro,,Id do responsavel.
523,terceirizado,Inteiro,,Id do terceirizado.
524,codigo_longo,Texto,,Código longo do CNAE.
525,descricao,Texto,,Descrição do código CNAE.
526,ativo,Booleano,,Se o fornecedor está ativo.
527,cnpj,Texto,,CNPJ do fornecedor.
528,cpf,Texto,,CPF do fornecedor.
529,habilitado_licitar,Booleano,,
530,id_cnae,Inteiro,,Identificador único do código CNAE do fornecedor.
531,id_linha_fornecimento,Inteiro,,Identificador único de linha de fornecimento do fornecedor.
532,id_municipio,Inteiro,,Identificador único de município no SICAF.
533,id_natureza_juridica,Inteiro,,Identificador único da natureza jurídica do fornecedor.
534,id_porte_empresa,Inteiro,,Identificador único do tipo da empresa do fornecedor.
535,id_ramo_negocio,Inteiro,,Identificador único do ramo de negócio do fornecedor.
536,id_unidade_cadastradora,Inteiro,,Identificador único da Unidade Cadastradora à qual o fornecedor está cadastrado no SICAF.
537,nome,Texto,,Parte do nome do fornecedor.
538,recadastrado,Booleano,,Se o fornecedor se recadastrou no Novo SICAF.
539,tipo_pessoa,Texto,,"Tipo da pessoa, física PF ou jurídica PJ."
540,uf,Texto,,Sigla da Unidade Federativa.
541,codigo_siasg,Inteiro,,Chave única que identifica a linha de fornecimento no SIASG.
542,id_fornecedor,Inteiro,,Id do Fornecedor.
543,tipo,Texto,,Tipo da linha de fornecimento. Valores admitidos: Serviço ou Material
544,codigo_ibge,Inteiro,,Código de identificação único de acordo com o IBGE.
545,codigo,Texto,,Código da Natureza Jurídica.
546,descricao,Texto,,Descrição da Natureza Jurídica.
547,ambito_ocorrencia,Inteiro,,Código da Abrangência da sanção aplicada ao fornecedor.
548,cnpj,Texto,,Número do CNPJ do fornecedor caso seja Pessoa Jurídica.
549,cpf,Texto,,Número do CPF do fornecedor caso seja Pessoa Física
550,descricao_tipo_ocorrencia,Texto,,Descrição do Tipo de Ocorrência atribuida ao fornecedor.
551,id_fornecedor,Inteiro,,Identificador único do fornecedor
552,id_orgao,Inteiro,,Descrição do Órgao / Entidade Sancionadora.
553,id_prazo,Inteiro,,Código do Prazo da Ocorrência.
554,id_tipo_ocorrencia,Inteiro,,Código do Tipo de Ocorrência atribuida ao fornecedor.
555,id_unidade_cadastradora,Inteiro,,Identificador da UASG.
556,impedido_licitar,Booleano,,Indica se a ocorrência gera impedimento para participar em licitações
557,numero_processo,Texto,,Número do Processo
558,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
559,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
560,order_by,Texto,,Atributo utilizado para ordenação
561,tipo_pessoa,Texto,,Descrição do tipo de pessoa.
562,valor_multa_max,BigDecimal,,Valor máximo da multa
563,valor_multa_min,BigDecimal,,Valor mínimo da multa
564,vigente,Texto,,Indica se a ocorrência está vigente na data atual. Valores aceitos: sim ou não.
565,vigente_em,Data,,Indica se a ocorrência está vigente na data informada. Formato: AAAA-MM-DD
566,id,inteiro,,
567,cnpj,Texto,,CNPJ do Fornecedor.
568,cpf_responsavel,Texto,,Descrição dos dados do gestor de compras responsável pela IRP.
569,data_provavel_licitacao,Inteiro,,Data provável da licitação.
570,data_provavel_licitacao_max,Inteiro,,Data máxima provável da licitação.
571,data_provavel_licitacao_min,Inteiro,,Data mínima provável da licitação.
572,item_material,Texto,,Código do item de material do item incluído na IRP.
573,item_material_classificado,Texto,,Código da classificação do item de material incluído na IRP.
575,item_servico_classificado,Texto,,Código da classificação do item de serviço incluído na IRP.
576,justificativa_modalidade,Texto,,Justificativa da modalidade.
577,modalidade_licitacao,Inteiro,,Descrição da modalidade da futura licitação da IRP.
578,nome_responsavel,Texto,,Descrição dos dados do gestor de compras responsável pela IRP.
579,numero_aviso,Inteiro,,Número da licitação.
580,numero_irp,Inteiro,,"Campo com nove dígitos, dos quais quatro correspondem ao ano da IRP."
581,objeto,Texto,,Descrição e/ou código do material/serviço de interesse na IRP.
582,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
583,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
584,order_by,Texto,,Atributo que deve ser usado como ordenador
585,orgao,Inteiro,,Campo de cinco dígitos que indica o código do órgão ao qual a UASG gerenciadora pertence.
586,prazo_validade,Texto,,Descrição do prazo de validade (em meses).
587,situacao,Texto,,Descrição da situação da IRP.
588,tipo_licitacao,Texto,,Descrição do tipo de licitação.
589,uasg,Inteiro,,"Campo de seis dígitos que indica o código de UASG do gerenciador, ou seja, do resposável pela licitação gerada pela IRP."
590,uasg_municipio,Inteiro,,Código do município/UF da UASG gerenciadora da IRP.
591,uf,Texto,,Unidade Federativa da UASG gerenciadora.
592,id,Texto,,Identificador do Item de IRP.
593,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
594,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
595,order_by,Texto,,Atributo que deve ser usado como ordenador
596,id,Texto,,Identificador do IRP.
597,item,Inteiro,,Identificador do Item de IRP.
598,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
599,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
600,order_by,Texto,,Atributo que deve ser usado como ordenador
601,cnpj_vencedor,Texto,,CNPJ do fornecedor vencedor do item de licitação.
602,codigo_item_filtro,Texto,,Código do item filtro da licitação
603,cpf_vencedor,Texto,,CPF do fornecedor vencedor do item de licitação.
604,data_abertura_proposta,Data,,Data de abertura da proposta.
605,data_abertura_proposta_max,Data,,Data máxima de abertura da proposta.
606,data_abertura_proposta_min,Data,,Data mínima de abertura da proposta.
607,data_entrega_edital,Data,,Data de entrega do edital.
608,data_entrega_edital_max,Data,,Data máxima de entrega do edital.
609,data_entrega_edital_min,Data,,Data mínima de entrega do edital.
610,data_entrega_proposta,Data,,Data de entrega da proposta.
611,data_entrega_proposta_max,Data,,Data máxima de entrega de proposta.
612,data_entrega_proposta_min,Data,,Data mínima de entrega de proposta.
613,data_publicacao,Data,,Data da publicação da licitação.
614,data_publicacao_max,Data,,Data máxima da publicação da licitação.
615,data_publicacao_min,Data,,Data mínima da publicação da licitação.
616,endereco_entrega_edital,Texto,,Endereço de entrega do edital.
617,funcao_responsavel,Texto,,Função do responsável pela licitação.
618,id_fornecedor,Inteiro,,Id do Fornecedor Vencedor.
619,item_material,Texto,,Código do item de material incluído na licitação
620,item_material_classificacao,Texto,,Código da classificação do item de material incluído na licitação.
621,item_servico,Texto,,Código do item de serviço incluído na licitação
622,item_servico_classificacao,Texto,,Código da classificação do item de serviço inlcuído na licitação.
623,modalidade,Inteiro,,Código da modalidade da licitação.
624,nome_responsavel,Texto,,Nome do responsável pela licitação.
625,numero_aviso,Inteiro,,Número da licitação.
626,objeto,Texto,,Objeto da licitação.
627,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
628,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
629,order_by,Texto,,Atributo que deve ser usado como ordenador
630,orgao,Inteiro,,Órgão ao qual pertence a UASG da licitação.
631,pregao_eletronico,Booleano,,Indica se o pregão é eletrônico ou não.
632,situacao_aviso,Texto,,Situação do aviso.
633,sustentavel,Booleano,,Definição de sustentabilidade dos itens da licitação.
634,tipo_item,Texto,,Tipo do item da licitação (material ou serviço)
635,uasg,Inteiro,,Código da UASG.
636,uasg_municipio,Inteiro,,Código do município da UASG
637,uf_uasg,Texto,,Unidade Federativa da UASG.
638,valor_estimado_total_max,BigDecimal,,Valor máximo da soma dos valores estimados dos itens da licitação
639,valor_estimado_total_min,BigDecimal,,Valor mínimo da soma dos valores estimados dos itens da licitação
640,valor_homologado_total_max,BigDecimal,,Valor máximo da soma dos valores homologados dos itens da licitação
641,valor_homologado_total_min,BigDecimal,,Valor mínimo da soma dos valores homologados dos itens da licitação
642,id,Texto,,Identificador da licitação.
643,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
644,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
645,order_by,Texto,,Atributo que deve ser usado como ordenador
646,sustentavel,Booleano,,Definição de sustentabilidade do item.
647,tipo,Texto,,Tipo do item. Valores admissíveis: material ou serviço
648,descricao,Texto,,Descrição da modalidade de licitação.
649,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
650,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
651,order_by,Texto,,Atributo que deve ser usado como ordenador
652,ativo,Booleano,,Se o órgão está ativo.
653,codigo,Texto,,Código do Órgão
654,nome,Texto,,Descrição da modalidade de licitação.
655,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
656,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
657,order_by,Texto,,Atributo que deve ser usado como ordenador
658,tipo_adm,Inteiro,,Código do tipo da administração do órgão
659,tipo_esfera,Texto,,"Código do tipo da esfera do órgão. F para Federal, E para estadual ou M para municipal."
660,tipo_poder,Inteiro,,Código do tipo de poder do órgão
661,modalidade,Inteiro,,Código da modalidade da licitação.
662,numero_aviso,Inteiro,,Número da licitação.
663,objeto,Texto,,Objeto da licitação.
664,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
665,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
666,order_by,Texto,,Atributo que deve ser usado como ordenador
667,pregao_eletronico,boolean,,Indica se o pregão é eletrônico ou não.
668,situacao,Texto,,Situação da licitação.
669,uasg,Inteiro,,Código da UASG.
670,uasg_municipio,Inteiro,,Código do município da UASG
671,id,Texto,,Identificador do preço praticado.
672,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
673,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
674,order_by,Texto,,Atributo que deve ser usado como ordenador
675,data_assinatura,Data,,Data da assinatura da licitação.
676,data_assinatura_max,Data,,Data máxima da assinatura da licitação.
677,data_assinatura_min,Data,,Data mínima da assinatura da licitação.
678,data_fim_validade,Data,,Data de fim da validade da licitação.
679,data_fim_validade_max,Data,,Data máxima de fim da validade da licitação.
680,data_fim_validade_min,Data,,Data mínima de fim da validade da licitação.
681,data_inicio_validade,Data,,Data de início da validade da licitação.
682,data_inicio_validade_max,Data,,Data máxima de início da validade da licitação.
683,data_inicio_validade_min,Data,,Data mínima de início da validade da licitação.
684,modalidade,Inteiro,,Código da modalidade da licitação.
685,numero_aviso,Inteiro,,Número da licitação.
686,objeto,Texto,,Objeto da licitação.
687,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
688,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
689,order_by,Texto,,Atributo que deve ser usado como ordenador
690,pregao_eletronico,boolean,,Indica se o pregão é eletrônico ou não.
691,situacao,Texto,,Situação da licitação.
692,uasg,Inteiro,,Código da UASG.
693,uasg_municipio,Inteiro,,Código do município da UASG
694,id,Texto,,Id do Registro Preco
695,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
696,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
697,order_by,Texto,,Atributo que deve ser usado como ordenador
698,id,Texto,,Identificador do Registro de Preço.
699,item,Inteiro,,Número do Item de Registro de Preço.
700,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
701,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
702,order_by,Texto,,Atributo que deve ser usado como ordenador
703,classificacao_fornecedor,Inteiro,,Classificacao do Fornecedor na Licitação por Registro de Preço.
704,id,Texto,,Identificador do Registro de Preço.
705,item,Inteiro,,Número do Item de Registro de Preço.
783,item,Inteiro,,Número do Item de Registro de Preço.
784,renegociacao,Inteiro,,Identificador da Renegociacao para o Fornecedor.
785,id,Inteiro,,Identificador da UASG.
706,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
707,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
708,order_by,Texto,,Atributo que deve ser usado como ordenador
709,ativo,Booleano,,Se a UASG está ativa.
710,cep,Texto,,CEP da UASG.
711,cnpj,Texto,,CNPJ da UASG.
712,id_municipio,Inteiro,,Identificador único de município no SICAF.
713,id_orgao,Inteiro,,Órgão associado à UASG
714,id_orgao_superior,Inteiro,,Órgão Superior
715,nome,Texto,,Parte do nome da UASG.
716,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
717,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
718,order_by,Texto,,Atributo que deve ser usado como ordenador
719,unidade_cadastradora,Booleano,,Unidade Cadastradora.
720,cnpj_vencedor,Texto,,CNPJ do fornecedor vencedor do item de licitação.
721,codigo_item_filtro,Texto,,Código do item filtro da licitação
722,cpf_vencedor,Texto,,CPF do fornecedor vencedor do item de licitação.
723,data_abertura_proposta,Data,,Data de abertura da proposta.
724,data_abertura_proposta_max,Data,,Data máxima de abertura da proposta.
725,data_abertura_proposta_min,Data,,Data mínima de abertura da proposta.
726,data_entrega_edital,Data,,Data de entrega do edital.
727,data_entrega_edital_max,Data,,Data máxima de entrega do edital.
728,data_entrega_edital_min,Data,,Data mínima de entrega do edital.
729,data_entrega_proposta,Data,,Data de entrega da proposta.
